ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
#wda,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#wda,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#wda,"",+t,0,""
#wdaw,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#wda,"",+t,0,""
#wdaw,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#wda,"",+t,0,""
#wdaw,"",+t,0,""
#awdawdwd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
ChannelName,Topic,Mode,MaxUsers,Password
#awd,"",+t,0,""
#aww,"",+t,0,""
#aw,"",+t,0,""
#ba,"",+t,0,""
